player_name,pga_2025_rank,pga_2025_sg_putt,putter_type_2025,putter_brand_2025,putter_model_2025,pga_2025_group,season,masters_2026_finish,masters_2026_finish_num,masters_2026_score,putter_type_masters,putter_brand_masters,putter_model_masters,putter_consistency,putter_type_unified
Si Woo Kim,161.0,-0.367,mallet,Odyssey,2-Ball Ten Broomstick,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Steven Fisk,168.0,-0.471,mallet,Odyssey,White Hot OG Rossie,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Sungjae Im,,,,,,,,T35,35.0,-3.0,blade,Scotty Cameron,Newport 2,only_in_one_dataset,blade
Taylor Dickson,163.0,-0.387,mallet,Odyssey,Ai-One Milled Six T,bottom20,2025.0,,,,,,,only_in_one_dataset,mallet
Taylor Montgomery,2.0,0.917,mallet,TaylorMade,Ghost Spider S,top20,2025.0,,,,,,,only_in_one_dataset,mallet
Thomas Rosenmueller,176.0,-0.611,blade,SeeMore,Nashville Studio Series Z1S,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Tommy Fleetwood,20.0,0.404,mallet,TaylorMade,Spider Tour Black,top20,2025.0,T18,18.0,-5.0,mallet,TaylorMade,Spider Tour Black,consistent,mallet
Tyrrell Hatton,,,,,,,,T3,3.0,-11.0,mallet,Odyssey,Ai-One #7,only_in_one_dataset,mallet
Viktor Hovland,,,,,,,,T25,25.0,-4.0,mallet,Ping,PLD Oslo,only_in_one_dataset,mallet
Will Gordon,162.0,-0.38,blade,Odyssey,Ai-One Milled One T,bottom20,2025.0,,,,,,,only_in_one_dataset,blade
Wyndham Clark,,,,,,,,T25,25.0,-4.0,mallet,Odyssey,Ai-One Milled,only_in_one_dataset,mallet
Xander Schauffele,,,,,,,,T9,9.0,-9.0,mallet,Scotty Cameron,Phantom X 12,only_in_one_dataset,mallet
Zach Johnson,15.0,0.446,blade,SeeMore,Mini Giant FGP,top20,2025.0,,,,,,,only_in_one_dataset,blade
